#{"t_start": 1669935032.9009788, "env_id": null}
r,l,t
2,862,1.647194
-4,562,2.168739
-5,452,2.571003
-5,568,3.099438
-2,1021,3.999032
-5,421,4.383579
-4,726,5.087845
3,661,5.675095
-4,653,6.292421
-4,518,6.750212
-3,621,7.313412
-2,739,7.977935
-2,691,8.595284
-4,779,9.337621
-4,743,10.070067
-1,1364,11.355711
-3,811,12.094809
-4,828,12.887401
-4,556,13.435079
-3,667,14.043075
-4,598,14.586336
-3,640,15.158283
-5,407,15.525282
-2,1066,16.473663
-5,588,17.004025
-3,747,17.67557
-3,741,18.346509
-3,642,18.940929
-2,850,19.783203
-5,432,20.19211
2,763,20.966405
-3,743,21.771253
4,684,22.505371
-5,551,23.039026
-5,413,23.448928
-4,552,24.008046
-5,781,24.866633
-4,734,25.548786
-4,891,26.393199
-1,839,27.151793
-1,987,28.090931
4,552,28.6052
-3,686,29.32347
1,809,30.087231
-5,515,30.569226
-3,704,31.215888
-3,635,31.787596
-2,671,32.376023
-5,547,32.855738
3,639,33.443622
-2,728,34.123565
-5,443,34.51851
-1,1116,35.570591
-4,559,36.098708
3,787,36.81867
-3,708,37.463171
-2,860,38.25917
-2,1002,39.173756
1,1078,40.14283
-1,841,41.011311
-3,680,41.655763
-5,517,42.121517
-3,980,43.019186
1,783,44.042106
-5,459,44.521469
-4,695,45.239391
-5,433,45.675449
-5,443,46.105572
-5,416,46.481566
-3,938,47.330078
-5,679,47.937451
-3,650,48.50593
-5,618,49.064501
-4,518,49.571209
-5,715,50.207837
-3,680,50.818755
-3,968,51.677989
-1,956,52.559197
-2,982,53.438976
1,993,54.315649
2,755,54.998821
-3,665,55.595516
-4,582,56.143546
-2,801,56.890199
-1,843,57.671414
-4,542,58.204426
-2,924,59.124616
-1,937,60.000357
-3,615,60.542905
2,777,61.323689
-4,500,61.788286
3,636,62.375715
-4,595,62.924593
-5,739,63.611197
-3,744,64.298725
-3,598,64.890629
-2,922,65.724844
-3,725,66.391546
-1,895,67.178441
-1,863,67.955914
-3,631,68.559946
2,920,69.407778
-4,593,69.944309
-4,475,70.375256
-1,896,71.198388
-1,826,71.96057
-4,480,72.383438
-5,381,72.72332
-1,780,73.402504
-5,644,73.984946
-4,729,74.63309
3,706,75.284681
-5,538,75.762404
-4,528,76.227161
-5,655,76.832002
-4,600,77.420126
-4,558,78.0952
-5,570,78.651635
-5,398,79.005868
-5,374,79.332993
1,841,80.095288
2,953,80.938692
-4,709,81.560008
-3,768,82.256542
-5,660,82.889669
-2,1046,83.875428
-5,454,84.272364
-3,692,84.928979
1,1008,85.877167
-3,627,86.453773
-5,435,86.841233
-3,626,87.435374
-2,721,88.107744
-4,554,88.595439
-3,630,89.171839
-5,427,89.552821
1,981,90.427056
3,573,90.938382
-1,835,91.709511
-4,551,92.21495
3,693,92.922772
-2,732,93.637921
-5,440,94.577337
-4,692,95.080125
-4,681,95.595032
-3,695,96.079391
-2,924,96.723629
-4,710,97.214929
-3,632,97.673433
-3,676,98.156123
-3,937,98.800237
-3,743,99.313895
-3,600,99.737466
-3,628,100.194853
-5,536,100.58328
-3,786,101.147884
-1,798,101.732651
-1,860,102.344588
-3,582,102.75393
-4,607,103.189903
-5,491,103.564743
-4,502,103.931038
-4,604,104.364732
2,857,105.047409
-4,703,105.691531
-2,790,106.359369
-2,823,107.105152
-1,914,107.813153
-2,1042,108.534854
-3,718,109.075553
-3,619,109.512205
3,881,110.140664
-1,1027,110.865468
-4,477,111.210629
-4,714,111.732169
-3,768,112.257568
-2,676,112.718357
-3,756,113.256725
-3,729,113.772464
2,667,114.254863
-1,960,114.945614
-2,819,115.526885
2,731,116.02823
-5,527,116.404679
-1,1148,117.24172
-3,566,117.646338
-1,1114,118.400326
-2,1049,119.153242
-5,524,119.563733
-4,780,120.115544
-1,974,120.800011
-3,709,121.302676
1,852,121.95799
1,1019,122.827099
-5,472,123.239709
-2,847,123.900989
-4,669,124.375717
-2,904,125.066449
-5,418,125.37364
-2,888,126.05222
-2,658,126.640177
-3,613,127.133799
-2,858,127.738689
-2,747,128.264507
-4,648,128.731805
-2,917,129.485486
-4,498,129.84866
-4,600,130.283514
-1,754,130.810073
-2,883,131.417305
2,890,132.057852
-1,840,132.637623
-4,641,133.099438
-1,761,133.612065
2,778,134.170939
-3,637,134.611027
-1,817,135.18389
2,817,135.758615
-1,1111,136.513859
-2,711,137.021456
-4,520,137.396614
-4,695,137.896397
-4,583,138.306866
-3,674,138.78848
-3,808,139.369554
-2,688,139.868359
-4,846,140.478592
2,762,141.05315
-4,575,141.493154
-1,1005,142.241511
-2,769,142.792375
-2,867,143.394509
-1,853,143.996175
-2,928,144.634341
-1,776,145.189267
-2,790,145.758878
-1,910,146.414924
-4,567,146.812112
-5,448,147.147295
-2,756,147.706678
1,877,148.340614
2,904,149.004265
-4,559,149.502809
-1,824,150.286711
-5,464,150.708585
-3,672,151.320059
-4,585,151.839732
-4,578,152.442637
-4,519,152.984514
-3,742,153.646481
-2,818,154.399045
-3,593,154.918655
-3,566,155.477504
-3,564,156.004378
-2,874,156.951012
-3,595,157.624677
2,761,158.411459
-1,863,159.40608
4,590,159.989263
-1,951,161.009748
-4,684,161.755372
-2,756,162.586905
-3,864,163.444616
-5,357,163.833107
-2,873,164.7979
-3,721,165.540392
-2,726,166.306484
-3,654,166.969404
1,739,167.667536
-2,682,168.295855
-3,743,169.007952
-5,559,169.59848
-3,788,170.364431
-5,472,170.871654
-4,1008,172.01816
2,902,172.968308
-3,695,173.668815
-2,768,174.42171
-5,527,174.932425
-3,704,175.617605
2,718,176.339661
-2,837,177.168443
-2,929,178.140842
-4,570,178.72431
-2,811,179.537653
-1,856,180.438274
-1,739,181.196085
1,829,182.006385
-3,574,182.601158
2,854,183.453691
3,696,184.116871
-4,660,184.726327
