explained_variance,total_timesteps,fps,policy_entropy,nupdates,value_loss,ep_reward_mean,ep_len_mean
-9.99193000793457,5,22,2.079430103302002,1,0.0022100829519331455,,
-23.463741302490234,500,672,2.0794382095336914,100,0.006023238878697157,,
-83.29783630371094,1000,824,2.079437255859375,200,0.007021368481218815,2.0,862.0
-536.470458984375,1500,898,2.079411268234253,300,0.0029442368540912867,-1.0,712.0
-1356.680908203125,2000,945,2.079432725906372,400,0.005338008515536785,-2.3333333333333335,625.3333333333334
-12.753866195678711,2500,967,2.0792911052703857,500,0.004075829870998859,-3.0,611.0
-48.75148010253906,3000,991,2.0793604850769043,600,0.0019023970235139132,-3.0,611.0
-46.265811920166016,3500,1009,2.0792648792266846,700,0.0030137754511088133,-2.8,693.0
-1.0845425128936768,4000,1017,2.0773520469665527,800,0.0002428500447422266,-3.1666666666666665,647.6666666666666
-60.95471954345703,4500,1017,2.0783159732818604,900,0.001789553789421916,-3.1666666666666665,647.6666666666666
-223.0732421875,5000,1026,2.073882818222046,1000,0.0064202346839010715,-3.2857142857142856,658.8571428571429
-779.770263671875,5500,1033,2.076094627380371,1100,0.006020149681717157,-2.5,659.125
0.2308548092842102,6000,1035,2.0771217346191406,1200,0.2949161231517792,-2.6666666666666665,658.4444444444445
-0.34486544132232666,6500,1042,2.067044973373413,1300,0.00019484289805404842,-2.8,644.4
-48.003623962402344,7000,1047,2.073146343231201,1400,0.0010880318004637957,-2.8,644.4
-1.0516514778137207,7500,1051,2.075587511062622,1500,1.0326979160308838,-2.8181818181818183,642.2727272727273
-2.8397281169891357,8000,1054,2.0675885677337646,1600,0.0007591862813569605,-2.75,650.3333333333334
-37.588748931884766,8500,1057,2.0581440925598145,1700,0.0024422663263976574,-2.6923076923076925,653.4615384615385
-3.236640453338623,9000,1057,2.069922924041748,1800,0.002588016912341118,-2.6923076923076925,653.4615384615385
-80.17366027832031,9500,1055,2.0629477500915527,1900,0.0022147586569190025,-2.7857142857142856,662.4285714285714
-2.001675844192505,10000,1054,2.0484836101531982,2000,0.000699091237038374,-2.7857142857142856,662.4285714285714
-5580.69873046875,10500,1056,2.0662760734558105,2100,0.0015912685776129365,-2.8666666666666667,667.8
-27.374269485473633,11000,1054,2.0616869926452637,2200,0.0036979936994612217,-2.8666666666666667,667.8
-13298.6142578125,11500,1054,2.052170991897583,2300,0.0017357133328914642,-2.75,711.3125
-118.8749008178711,12000,1056,2.060399293899536,2400,0.002575607504695654,-2.75,711.3125
-222.97705078125,12500,1057,2.005523443222046,2500,0.00399837177246809,-2.764705882352941,717.1764705882352
-11.518012046813965,13000,1056,2.0718986988067627,2600,0.001812916831113398,-2.764705882352941,717.1764705882352
-17.4135799407959,13500,1054,2.06445574760437,2700,0.009984372183680534,-2.8333333333333335,723.3333333333334
-56.7954216003418,14000,1056,2.069072723388672,2800,0.0011004783445969224,-2.8947368421052633,714.5263157894736
-10573.1640625,14500,1057,2.0740787982940674,2900,0.0010897601023316383,-2.9,712.15
-6.3245930671691895,15000,1058,2.0345168113708496,3000,0.0007707663462497294,-2.9523809523809526,706.7142857142857
-42.80473709106445,15500,1060,2.0667433738708496,3100,0.005073188804090023,-2.9545454545454546,703.6818181818181
-592.7313842773438,16000,1062,2.0463709831237793,3200,0.0010040851775556803,-3.0434782608695654,690.7826086956521
-41.98515701293945,16500,1064,2.053170680999756,3300,0.0007011735578998923,-3.0434782608695654,690.7826086956521
-6.504392147064209,17000,1065,2.0413291454315186,3400,0.004003224894404411,-3.0,706.4166666666666
-11.820212364196777,17500,1067,2.0586414337158203,3500,0.0006530472892336547,-3.0,706.4166666666666
0.0006029009819030762,18000,1068,2.061415195465088,3600,0.26678580045700073,-3.08,701.68
-5.611826419830322,18500,1069,2.061434745788574,3700,0.00016203220002353191,-3.076923076923077,703.4230769230769
-29.212400436401367,19000,1070,2.0613675117492676,3800,0.005676370579749346,-3.076923076923077,703.4230769230769
-21.259889602661133,19500,1070,2.071385622024536,3900,0.00029557288507930934,-3.074074074074074,704.8148148148148
-0.5299854278564453,20000,1070,2.0417418479919434,4000,0.0006703869439661503,-3.0714285714285716,702.5714285714286
-5.935605049133301,20500,1067,2.051506757736206,4100,0.0011685409117490053,-3.0714285714285716,702.5714285714286
-4.502744197845459,21000,1067,2.0743205547332764,4200,0.0007922172662802041,-3.1,698.4666666666667
-120.93528747558594,21500,1066,2.065119981765747,4300,0.0012094712583348155,-3.1,698.4666666666667
-655.09326171875,22000,1062,2.0584843158721924,4400,0.011714932508766651,-2.935483870967742,700.5483870967741
-152.8850555419922,22500,1058,2.0758919715881348,4500,0.000346821645507589,-2.9375,701.875
-99.46410369873047,23000,1055,2.0748071670532227,4600,0.00021100565209053457,-2.9375,701.875
-70.37153625488281,23500,1053,2.0766425132751465,4700,0.00046274453052319586,-2.727272727272727,701.3333333333334
-0.8478506803512573,24000,1054,2.0753982067108154,4800,0.0006794251967221498,-2.7941176470588234,696.9117647058823
-138.63290405273438,24500,1052,2.057981491088867,4900,0.0004128153086639941,-2.857142857142857,688.8
-3608.82763671875,25000,1050,2.0602285861968994,5000,0.008908828720450401,-2.888888888888889,685.0
0.9374071806669235,25500,1046,2.0568699836730957,5100,4.926022302242927e-05,-2.945945945945946,687.5945945945946
-17.936161041259766,26000,1047,2.069761276245117,5200,0.0031471773982048035,-2.945945945945946,687.5945945945946
-21.39858627319336,26500,1048,2.0682008266448975,5300,0.004851010628044605,-2.973684210526316,688.8157894736842
-10.114537239074707,27000,1048,2.0716023445129395,5400,0.0004019363841507584,-2.973684210526316,688.8157894736842
-42872.609375,27500,1049,2.060314893722534,5500,0.03131203353404999,-3.0,694.0
-3.9097800254821777,28000,1049,2.0576395988464355,5600,3.6006211303174496e-05,-2.95,697.625
-0.4391556978225708,28500,1050,2.069880247116089,5700,0.000537991349119693,-2.95,697.625
-27.858474731445312,29000,1049,2.073491334915161,5800,0.0010268945479765534,-2.902439024390244,704.6829268292682
-283.6865539550781,29500,1050,2.018880605697632,5900,0.0002948527690023184,-2.738095238095238,701.047619047619
-6.823367118835449,30000,1048,2.0614044666290283,6000,0.0002278597094118595,-2.738095238095238,701.047619047619
-19.594907760620117,30500,1047,2.062300443649292,6100,0.000734052387997508,-2.744186046511628,700.6976744186046
-6.335082530975342,31000,1048,2.0433833599090576,6200,0.0010078813647851348,-2.659090909090909,703.1590909090909
0.9168353602290154,31500,1048,2.0716562271118164,6300,9.636117465561256e-05,-2.7111111111111112,698.9777777777778
-510.4126892089844,32000,1048,2.0724740028381348,6400,0.0005572332884185016,-2.7111111111111112,698.9777777777778
-3.748763084411621,32500,1049,2.0634384155273438,6500,0.00013388849038165063,-2.717391304347826,699.0869565217391
0.7021334171295166,33000,1050,2.036142110824585,6600,7.681323040742427e-05,-2.723404255319149,697.7234042553191
-11.465963363647461,33500,1052,2.0716631412506104,6700,0.002635604003444314,-2.7083333333333335,697.1666666666666
0.7045034468173981,34000,1053,2.0218496322631836,6800,0.00014792417641729116,-2.7083333333333335,697.1666666666666
0.555627316236496,34500,1053,2.054462432861328,6900,4.031924618175253e-05,-2.7551020408163267,694.1020408163265
-71.1163101196289,35000,1053,2.071065664291382,7000,0.0006602733628824353,-2.64,693.0
-1.702636957168579,35500,1054,2.0631794929504395,7100,0.0002855471975635737,-2.627450980392157,693.6862745098039
-2.202096462249756,36000,1054,2.05949068069458,7200,0.00021228345576673746,-2.673076923076923,688.8653846153846
-1.712228775024414,36500,1054,2.0314981937408447,7300,0.0010496529284864664,-2.673076923076923,688.8653846153846
0.9217881113290787,37000,1055,2.0053439140319824,7400,0.0003802986175287515,-2.641509433962264,696.9245283018868
0.6423940360546112,37500,1055,2.056703567504883,7500,0.04197482019662857,-2.6666666666666665,694.3703703703703
-209.58457946777344,38000,1055,2.0551598072052,7600,9.682864038040861e-05,-2.6666666666666665,694.3703703703703
-4.887117862701416,38500,1056,2.0336289405822754,7700,8.540676208212972e-05,-2.5636363636363635,696.0545454545454
-14.426915168762207,39000,1056,2.045950412750244,7800,0.0004926625406369567,-2.5714285714285716,696.2678571428571
-2.667957067489624,39500,1057,2.068363666534424,7900,7.7669887105003e-05,-2.5714285714285716,696.2678571428571
-5.5847907066345215,40000,1056,2.0593714714050293,8000,0.0012115654535591602,-2.56140350877193,699.140350877193
